ID;Helicity;uH;NCPR;Length;Total contacts;Type
ASYNP102;10.4;0.2;0.09;33;4.06;aSynPEP-DB
ASYNP103;13.9;0.38;0.1;31;3.5;aSynPEP-DB
ASYNP104;7.1;0.35;0.28;33;9.57;aSynPEP-DB
ASYNP105;3.8;0.37;0.06;32;4.55;aSynPEP-DB
ASYNP106;1.4;0.23;0.1;21;3.65;aSynPEP-DB
ASYNP107;12.0;0.23;0.19;27;9.52;aSynPEP-DB
ASYNP108;1.9;0.47;0.11;18;1.82;aSynPEP-DB
ASYNP109;1.4;0.35;0.15;37;40.3;aSynPEP-DB
ASYNP110;1.6;0.63;0.33;18;63.32;aSynPEP-DB
ASYNP111;2.1;0.29;0.2;25;14.92;aSynPEP-DB
ASYNP112;1.1;0.28;0.32;25;136.6;aSynPEP-DB
ASYNP113;4.8;0.52;0.16;37;97.2;aSynPEP-DB
ASYNP114;1.9;0.58;0.11;18;1.29;aSynPEP-DB
ASYNP115;3.2;0.23;0.06;31;0.46;aSynPEP-DB
ASYNP116;1.5;0.49;0.29;25;119.44;aSynPEP-DB
ASYNP117;3.6;0.2;0.1;23;3.26;aSynPEP-DB
ASYNP118;1.1;0.28;0.09;23;2.9;aSynPEP-DB
ASYNP119;1.1;0.24;0.1;32;0.63;aSynPEP-DB
ASYNP120;1.1;0.3;0.24;34;126.44;aSynPEP-DB
ASYNP121;1.1;0.25;0.31;26;124.49;aSynPEP-DB
ASYNP122;10.6;0.45;0.18;36;2.06;aSynPEP-DB
ASYNP123;42.5;0.34;0.1;39;0.11;aSynPEP-DB
EXTER001;2.7;0.56;0.1;22;2.61;aSynPEP-DB
NEG_NCPR_001;0.4;0.31;0;47;10.72;Negative
NEG_NCPR_002;0;0.09;0;30;0.42;Negative
NEG_NCPR_003;0.3;0.15;0;25;0.66;Negative
NEG_NCPR_004;0.2;0.22;0;21;0.39;Negative
NEG_NCPR_005;0.7;0.14;0;37;0.55;Negative
NEG_NCPR_006;0.3;0.27;0;32;0.54;Negative
NEG_NCPR_007;2;0.02;-0.1;30;0.17;Negative
NEG_NCPR_008;0.4;0.19;-0.2;20;0.18;Negative
NEG_NCPR_009;0.3;0.05;0;30;0.73;Negative
NEG_NCPR_010;1.4;0.02;-0.04;26;0.23;Negative
NEG_NCPR_011;3.9;0.24;-0.3;41;0.68;Negative
NEG_NCPR_012;0;0.21;0.01;18;0.68;Negative
NEG_NCPR_013;0.4;0.16;0;36;3.2;Negative
NEG_NCPR_014;0.2;0.1;0;45;4.26;Negative
NEG_NCPR_015;0.9;0.05;-0.15;19;0.3;Negative
NEG_NCPR_016;0.1;0.18;0;18;0.52;Negative
NEG_NCPR_017;0.5;0.21;0;43;2.4;Negative
NEG_NCPR_018;0.7;0.22;-0.2;30;0.25;Negative
NEG_NCPR_019;0.5;0.13;0;25;0.61;Negative
NEG_NCPR_020;0.4;0.09;-0.05;22;0.09;Negative
NEG_NCPR_021;0.7;0.19;-0.28;25;0.35;Negative
NEG_NCPR_022;4.7;0.1;-0.33;18;0.11;Negative
NEG_NCPR_023;0.2;0.16;0;18;0.49;Negative
NEG_NCPR_024;0;0.06;-0.05;19;0.12;Negative
NEG_NCPR_025;0.5;0.24;-0.26;19;0.06;Negative
NEG_NCPR_026;0.1;0.17;-0.19;21;0.29;Negative
NEG_NCPR_027;1.6;0.22;-0.15;20;0.13;Negative
NEG_NCPR_028;1.3;0.1;-0.1;31;0.51;Negative
NEG_NCPR_029;0.1;0.03;0;29;1.42;Negative
NEG_NCPR_030;0.2;0.17;0;19;0.44;Negative
NEG_NCPR_031;0.2;0.16;0;19;0.32;Negative
NEG_NCPR_032;0;0.07;0;25;0.58;Negative
NEG_NCPR_033;0.8;0.27;-0.07;27;0.23;Negative
NEG_NCPR_034;0.4;0.22;0;32;0.36;Negative
NEG_NCPR_035;0.2;0.16;-0.03;35;0.71;Negative
NEG_NCPR_036;0.8;0.33;0;44;4.79;Negative
NEG_NCPR_037;0.9;0.01;0;21;0.82;Negative
NEG_NCPR_038;0.2;0.28;-0.2;25;0.12;Negative
NEG_NCPR_039;0.3;0.17;0;25;5.28;Negative
NEG_NCPR_040;0.9;0.23;0;44;2.76;Negative
NEG_NCPR_041;0.8;0.11;0;47;2.09;Negative
NEG_NCPR_042;1.9;0.29;-0.2;30;0.41;Negative
NEG_NCPR_043;0.5;0.04;0;30;0.45;Negative
NEG_NCPR_044;0.1;0.19;0.05;21;0.95;Negative
NEG_NCPR_045;0.2;0.11;0;46;2.71;Negative
NEG_NCPR_046;0.9;0.13;0;31;0.55;Negative
NEG_NCPR_047;0.1;0.18;-0.05;19;0.41;Negative
NEG_NCPR_048;0.1;0.15;-0.2;30;0.15;Negative
NEG_NCPR_049;0.5;0.16;-0.1;22;0.18;Negative
NEG_NCPR_050;0.2;0.21;0;18;0.26;Negative
NEG_NCPR_051;0.3;0.42;0;29;0.9;Negative
NEG_NCPR_052;0.2;0.17;-0.13;31;0.2;Negative
NEG_NCPR_053;0;0.06;0.03;34;0.81;Negative
NEG_NCPR_054;0;0.19;0;18;0.4;Negative
NEG_NCPR_055;1.5;0.09;0.01;18;0.64;Negative
NEG_NCPR_056;0.3;0.07;0;49;0.63;Negative
NEG_NCPR_057;0.3;0.04;-0.5;33;0.51;Negative
NEG_NCPR_058;0.3;0.16;0;25;0.48;Negative
NEG_NCPR_059;5.6;0.07;0;30;0.42;Negative
NEG_NCPR_060;0;0.25;0;19;0.49;Negative
NEG_NCPR_061;17.3;0.31;-0.08;24;0.61;Negative
NEG_NCPR_062;22.6;0.07;0;22;1.04;Negative
NEG_NCPR_063;0.2;0.13;-0.1;33;0.6;Negative
NEG_NCPR_064;0;0.14;-0.1;23;0.13;Negative
NEG_NCPR_065;0;0.17;-0.1;20;0.23;Negative
NEG_NCPR_066;0.1;0.08;0;22;0.67;Negative
NEG_NCPR_067;0;0.1;0.05;19;0.78;Negative
NEG_NCPR_068;0;0.31;0.01;18;0.42;Negative
NEG_NCPR_069;0.2;0.11;-0.3;22;0.31;Negative
NEG_NCPR_070;0;0.24;0;19;0.43;Negative
NEG_NCPR_071;0;0.28;0;21;0.51;Negative
NEG_NCPR_072;0.5;0.07;0;42;1.31;Negative
NEG_NCPR_073;0.1;0.12;0;25;1.89;Negative
NEG_NCPR_074;0;0.13;0;23;0.08;Negative
NEG_NCPR_075;12;0.27;-0.1;37;1.57;Negative
NEG_NCPR_076;0;0.08;0;19;0.81;Negative
NEG_NCPR_077;1.3;0.13;-0.1;19;0.2;Negative
NEG_NCPR_078;1.7;0.17;-0.2;30;0.15;Negative
NEG_NCPR_079;0.5;0.07;0;42;1.94;Negative
NEG_NCPR_080;0.7;0.2;0;45;0.83;Negative
NEG_NCPR_081;0.1;0.24;-0.03;27;0.04;Negative
